motif	target_w_motifs	target_total	local_w_motifs	local_total	global_w_motifs	global_total	target_percentage_w_motifs	local_percentage_w_motifs	global_percentage_w_motifs	local_fold_change	local_pvalue	global_fold_change	global_pvalue
HIF1A.MA1106.1	12552	51133	10517	51133	9434	51133	0.2454775	0.2056793	0.1844992	1.1935	1.19815480151717e-52	1.3305	4.53345997398662e-125
RBPJ.MA1116.1	27513	51133	26100	51133	24613	51133	0.5380674	0.5104336	0.4813526	1.0541	4.71171033526438e-19	1.1178	7.85811673952349e-74
ARNT_HIF1A.MA0259.1	25969	51133	24594	51133	23520	51133	0.5078716	0.480981	0.4599769	1.0559	4.1934832388343e-18	1.1041	2.77347509025593e-53
MXI1.MA1108.2	20344	51133	18843	51133	18949	51133	0.3978644	0.3685096	0.3705826	1.0797	2.48116511668121e-22	1.0736	1.58732305901544e-19
NFKB2.MA0778.1	1217	51133	955	51133	899	51133	0.0238007	0.0186768	0.0175816	1.2743	7.25664961400437e-09	1.3537	1.51507403971872e-12
NEUROD1.MA1109.1	20230	51133	19087	51133	19191	51133	0.3956349	0.3732814	0.3753154	1.0599	1.05803169316315e-13	1.0541	1.28481617716375e-11
NEUROG2_2.MA1642.1	26267	51133	25492	51133	25259	51133	0.5136996	0.498543	0.4939863	1.0304	6.45548045958925e-07	1.0399	1.50506001576269e-10
ZNF75D.MA1601.1	14266	51133	13511	51133	13373	51133	0.2789979	0.2642325	0.2615336	1.0559	5.75459991370812e-08	1.0668	1.67877076589122e-10
HSF2.MA0770.1	623	51133	617	51133	463	51133	0.0121839	0.0120666	0.0090548	1.0097	0.443204319066809	1.3456	5.9011212421682e-07
NFKB1.MA0105.4	88	51133	62	51133	54	51133	0.001721	0.0012125	0.0010561	1.4194	0.0203605128007035	1.6296	0.00269903982812294
SREBF2.MA0596.1	6366	51133	6852	51133	7272	51133	0.1244989	0.1340035	0.1422174	0.9291	0.999997185145556	0.8754	1
