motif	target_w_motifs	target_total	local_w_motifs	local_total	global_w_motifs	global_total	target_percentage_w_motifs	local_percentage_w_motifs	global_percentage_w_motifs	local_fold_change	local_pvalue	global_fold_change	global_pvalue
ERG.MA0474.2	14483	51133	10519	51133	8734	51133	0.2832417	0.2057184	0.1708095	1.3768	1.00145174465014e-183	1.6582	0
GABPA.MA0062.3	30891	51133	26819	51133	24967	51133	0.6041304	0.5244949	0.4882757	1.1518	7.87475145081038e-146	1.2373	6.20381341524439e-304
BATF_JUN.MA0462.2	14028	51133	10863	51133	10485	51133	0.2743434	0.212446	0.2050535	1.2914	3.66100905471632e-118	1.3379	4.07795082078127e-149
TFAP2C.MA0524.2	33996	51133	31719	51133	29994	51133	0.6648544	0.6203235	0.5865879	1.0718	3.24710106843352e-50	1.1334	7.03425043882888e-148
CTCF.MA0139.1	3125	51133	1227	51133	1504	51133	0.0611151	0.0239962	0.0294135	2.5469	2.67208153820835e-196	2.0778	4.17222149771675e-134
NFIA.MA0670.1	12968	51133	10719	51133	9976	51133	0.2536131	0.2096298	0.1950991	1.2098	1.03189863180114e-62	1.2999	6.98443337429131e-112
KLF5.MA0599.1	28938	51133	26114	51133	25424	51133	0.5659359	0.5107074	0.4972132	1.1081	1.69371241585414e-70	1.1382	8.59377347826834e-108
WT1.MA1627.1	22253	51133	20174	51133	18944	51133	0.4351984	0.3945397	0.3704848	1.1031	4.96583149012354e-40	1.1747	4.02808894719267e-99
STAT3.MA0144.2	11108	51133	9611	51133	8598	51133	0.2172374	0.1879608	0.1681497	1.1558	1.24705355250244e-31	1.2919	1.53145866349418e-88
NFIX_2.MA1528.1	2851	51133	1727	51133	1566	51133	0.0557566	0.0337747	0.030626	1.6508	1.35637071557204e-65	1.8206	2.58669688224773e-88
EBF2.MA1604.1	19638	51133	17878	51133	16756	51133	0.3840573	0.3496372	0.3276944	1.0984	1.7663638467507e-30	1.172	2.39659414274888e-79
EGR1.MA0162.4	24754	51133	23130	51133	21763	51133	0.4841101	0.4523498	0.4256156	1.0702	1.32470388914997e-24	1.1374	5.30377907505357e-79
RBPJ.MA1116.1	27513	51133	26100	51133	24613	51133	0.5380674	0.5104336	0.4813526	1.0541	4.71171033526438e-19	1.1178	7.85811673952349e-74
CREB3L4.MA1474.1	16200	51133	13968	51133	13593	51133	0.3168208	0.27317	0.2658362	1.1598	3.64440251112625e-53	1.1918	2.70266766179763e-72
ZKSCAN5.MA1652.1	17075	51133	15421	51133	14767	51133	0.3339331	0.3015861	0.2887959	1.1073	6.03282587165444e-29	1.1563	4.63306850222184e-55
GMEB2.MA0862.1	6604	51133	5851	51133	5047	51133	0.1291534	0.1144271	0.0987034	1.1287	3.18810590424269e-13	1.3085	2.25101428251631e-53
CEBPB.MA0466.2	3094	51133	2260	51133	2046	51133	0.0605089	0.0441985	0.0400133	1.369	5.21997800597644e-32	1.5122	2.16642678346699e-51
ZIC1_ZIC2.MA1628.1	25607	51133	23049	51133	23234	51133	0.5007921	0.4507657	0.4543837	1.111	5.11162774635711e-58	1.1021	3.36036876456353e-50
NR1H4.MA1110.1	20401	51133	19465	51133	18300	51133	0.3989791	0.3806739	0.3578902	1.0481	1.01662177307064e-09	1.1148	4.39355306761856e-42
PLAGL2.MA1548.1	18264	51133	16926	51133	16232	51133	0.3571862	0.3310191	0.3174467	1.0791	6.76723082681289e-19	1.1252	1.86305572065852e-41
RELB.MA1117.1	36162	51133	35737	51133	34192	51133	0.7072145	0.6989029	0.6686875	1.0119	0.001854875589238	1.0576	1.28653542046483e-40
NR2C2.MA0504.1	3412	51133	2699	51133	2440	51133	0.0667279	0.0527839	0.0477187	1.2642	2.65366765636603e-21	1.3984	1.62428541087664e-39
HES1.MA1099.2	12817	51133	11735	51133	11132	51133	0.25066	0.2294995	0.2177068	1.0922	1.23599523025429e-15	1.1514	8.0515205402511e-36
NRF1.MA0506.1	4580	51133	3809	51133	3553	51133	0.0895703	0.074492	0.0694855	1.2024	8.16732935026979e-19	1.2891	8.21328937547501e-33
ZBTB26.MA1579.1	21948	51133	21452	51133	20101	51133	0.4292336	0.4195334	0.3931121	1.0231	0.000868624885273334	1.0919	4.30951317174493e-32
MAFG.MA0659.2	8301	51133	7558	51133	6966	51133	0.1623413	0.1478106	0.136233	1.0983	7.23039759076381e-11	1.1916	5.54669913621052e-32
REL.MA0101.1	27575	51133	26804	51133	25715	51133	0.5392799	0.5242016	0.5029042	1.0288	6.98354567608342e-07	1.0723	1.32065005002503e-31
PRDM4.MA1647.1	40796	51133	40764	51133	39317	51133	0.7978409	0.7972151	0.7689164	1.0008	0.404686658046703	1.0376	1.57607201508764e-29
NR5A1.MA1540.1	33243	51133	31995	51133	31535	51133	0.6501281	0.6257212	0.616725	1.039	2.44443374003732e-16	1.0542	7.94301188195031e-29
JUN_JUNB_2.MA1133.1	12028	51133	10849	51133	10560	51133	0.2352297	0.2121722	0.2065203	1.1087	4.73879135814084e-19	1.139	9.65749185167574e-29
NFAT5.MA0606.1	34034	51133	34505	51133	32349	51133	0.6655976	0.6748088	0.6326443	0.9863	0.999153696519502	1.0521	1.28721516216997e-28
ZNF341.MA1655.1	34160	51133	32995	51133	32539	51133	0.6680617	0.645278	0.6363601	1.0353	8.8497587689533e-15	1.0498	9.93448519035877e-27
RFX1.MA0509.2	6699	51133	5736	51133	5618	51133	0.1310113	0.112178	0.1098703	1.1679	1.6520386811513e-20	1.1924	1.49664194358944e-25
HNF4A.MA0114.4	14808	51133	13950	51133	13359	51133	0.2895977	0.2728179	0.2612599	1.0615	1.25302161248099e-09	1.1085	1.88337999695366e-24
ZFP57.MA1583.1	8928	51133	7990	51133	7746	51133	0.1746035	0.1562592	0.1514873	1.1174	1.54450159380465e-15	1.1526	7.56539185826086e-24
ZNF682.MA1599.1	6918	51133	6064	51133	5903	51133	0.1352942	0.1185927	0.115444	1.1408	5.51644188206148e-16	1.1719	4.8564825852155e-22
RARA_RXRG.MA1149.1	9229	51133	8531	51133	8141	51133	0.1804901	0.1668394	0.1592123	1.0818	4.35493497574223e-09	1.1336	6.85378426540749e-20
MXI1.MA1108.2	20344	51133	18843	51133	18949	51133	0.3978644	0.3685096	0.3705826	1.0797	2.48116511668121e-22	1.0736	1.58732305901544e-19
DBP.MA0639.1	1065	51133	870	51133	707	51133	0.020828	0.0170145	0.0138267	1.2241	4.17432600657824e-06	1.5064	4.59341003547771e-18
E2F6.MA0471.2	34796	51133	34373	51133	33503	51133	0.6804999	0.6722273	0.6552129	1.0123	0.00239716325216225	1.0386	4.78962173499564e-18
AR.MA0007.3	262	51133	111	51133	102	51133	0.0051239	0.0021708	0.0019948	2.3604	1.50851671326934e-15	2.5686	1.04151161968802e-17
STAT6.MA0520.1	4363	51133	4187	51133	3646	51133	0.0853265	0.0818845	0.0713042	1.042	0.0240163301850318	1.1967	3.75683015172768e-17
HSF4.MA0771.1	3817	51133	3602	51133	3171	51133	0.0746485	0.0704437	0.0620147	1.0597	0.00494010363163045	1.2037	6.27116907076902e-16
INSM1.MA0155.1	6527	51133	6047	51133	5705	51133	0.1276475	0.1182602	0.1115718	1.0794	2.53644174673862e-06	1.1441	1.24577686971657e-15
NHLH1.MA0048.2	10992	51133	9524	51133	9981	51133	0.2149688	0.1862594	0.1951968	1.1541	1.05710496930609e-30	1.1013	2.57024575810524e-15
ESR2.MA0258.2	11925	51133	11134	51133	10925	51133	0.2332153	0.2177459	0.2136585	1.071	1.69142382829351e-09	1.0915	3.17964071298573e-14
KLF2.MA1515.1	40275	51133	39436	51133	39278	51133	0.7876518	0.7712436	0.7681536	1.0213	1.30156538178938e-10	1.0254	3.34019919187562e-14
MYC.MA0147.3	22009	51133	20427	51133	20843	51133	0.4304265	0.3994876	0.4076233	1.0774	5.35686629688134e-24	1.0559	7.68909561504685e-14
HAND2.MA1638.1	20768	51133	20145	51133	19636	51133	0.4061565	0.3939726	0.3840181	1.0309	3.5904559419471e-05	1.0576	2.33134459889706e-13
ZBTB14.MA1650.1	13895	51133	13497	51133	12883	51133	0.2717423	0.2639587	0.2519508	1.0295	0.00252840732784705	1.0786	3.20094002083788e-13
PRDM15.MA1616.1	9806	51133	9716	51133	8936	51133	0.1917744	0.1900143	0.1747599	1.0093	0.239426380817256	1.0974	1.07176066839986e-12
NFKB2.MA0778.1	1217	51133	955	51133	899	51133	0.0238007	0.0186768	0.0175816	1.2743	7.25664961400437e-09	1.3537	1.51507403971872e-12
NFYA.MA0060.3	8780	51133	7649	51133	7973	51133	0.1717091	0.1495903	0.1559267	1.1479	3.10582182052652e-22	1.1012	4.84796271147825e-12
OVOL2.MA1545.1	1070	51133	1004	51133	796	51133	0.0209258	0.0196351	0.0155672	1.0657	0.074646079232773	1.3442	8.3328962924703e-11
MEIS2.MA0774.1	22839	51133	21868	51133	21832	51133	0.4466587	0.427669	0.426965	1.0444	4.82348883799501e-10	1.0461	1.12897095729695e-10
RORC.MA1151.1	26686	51133	27245	51133	25814	51133	0.5218939	0.5328262	0.5048403	0.9795	0.999773899001341	1.0338	2.52713205788286e-08
TEAD4.MA0809.2	18743	51133	18607	51133	17964	51133	0.3665539	0.3638942	0.3513191	1.0073	0.190309936730782	1.0434	1.96983416489708e-07
